Maturity,Put/Call,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
"November 22, 2021",puts,SPY211122P00421000,2021-11-19 2:33PM EST,421.0,0.02,0.01,0.02,-0.03,-60.00%,22,4698,52.73%
"November 22, 2021",puts,SPY211122P00422000,2021-11-19 3:50PM EST,422.0,0.01,0.01,0.02,-0.01,-50.00%,37,507,51.56%
"November 22, 2021",puts,SPY211122P00423000,2021-11-19 1:16PM EST,423.0,0.01,0.01,0.02,-0.02,-66.67%,3031,236,50.78%
"November 22, 2021",puts,SPY211122P00424000,2021-11-19 1:11PM EST,424.0,0.01,0.01,0.02,-0.01,-50.00%,22,1494,50.78%
"November 22, 2021",puts,SPY211122P00425000,2021-11-19 12:30PM EST,425.0,0.01,0.01,0.02,-0.01,-50.00%,34,1073,50.00%
"November 22, 2021",puts,SPY211122P00426000,2021-11-19 12:55PM EST,426.0,0.01,0.01,0.02,-0.01,-50.00%,1000,373,48.83%
"November 22, 2021",puts,SPY211122P00427000,2021-11-18 11:37AM EST,427.0,0.02,0.01,0.02,0.0,-,2,292,47.66%
"November 22, 2021",puts,SPY211122P00428000,2021-11-19 11:27AM EST,428.0,0.02,0.01,0.02,0.0,-,25,205,46.88%
"November 22, 2021",puts,SPY211122P00429000,2021-11-18 12:42PM EST,429.0,0.02,0.01,0.02,0.0,-,53,743,45.70%
"November 22, 2021",puts,SPY211122P00430000,2021-11-19 4:14PM EST,430.0,0.02,0.02,0.03,-0.01,-33.33%,324,821,46.48%
"November 22, 2021",puts,SPY211122P00431000,2021-11-19 1:22PM EST,431.0,0.02,0.02,0.03,-0.01,-33.33%,15,1788,45.31%
"November 22, 2021",puts,SPY211122P00432000,2021-11-19 4:11PM EST,432.0,0.02,0.02,0.03,-0.02,-50.00%,178,3618,44.34%
"November 22, 2021",puts,SPY211122P00433000,2021-11-19 4:01PM EST,433.0,0.02,0.02,0.03,-0.01,-33.33%,273,279,43.36%
"November 22, 2021",puts,SPY211122P00434000,2021-11-19 1:49PM EST,434.0,0.02,0.02,0.03,-0.02,-50.00%,14,904,42.19%
"November 22, 2021",puts,SPY211122P00435000,2021-11-19 1:52PM EST,435.0,0.02,0.02,0.03,0.0,-,9,2948,41.02%
"November 22, 2021",puts,SPY211122P00436000,2021-11-19 2:00PM EST,436.0,0.02,0.02,0.03,-0.01,-33.33%,254,673,39.84%
"November 22, 2021",puts,SPY211122P00437000,2021-11-19 9:59AM EST,437.0,0.02,0.02,0.03,-0.01,-33.33%,214,207,38.67%
"November 22, 2021",puts,SPY211122P00438000,2021-11-19 2:17PM EST,438.0,0.02,0.02,0.03,-0.01,-33.33%,51,455,37.70%
"November 22, 2021",puts,SPY211122P00439000,2021-11-19 2:57PM EST,439.0,0.03,0.02,0.03,0.0,-,91,747,36.52%
"November 22, 2021",puts,SPY211122P00440000,2021-11-19 4:05PM EST,440.0,0.03,0.02,0.03,-0.01,-25.00%,83,11232,35.55%
"November 22, 2021",puts,SPY211122P00441000,2021-11-19 4:11PM EST,441.0,0.03,0.02,0.03,0.0,-,44,2087,34.38%
"November 22, 2021",puts,SPY211122P00442000,2021-11-19 4:06PM EST,442.0,0.02,0.02,0.03,-0.01,-33.33%,34,1754,33.20%
"November 22, 2021",puts,SPY211122P00443000,2021-11-19 3:27PM EST,443.0,0.03,0.02,0.03,-0.01,-25.00%,287,1031,32.03%
"November 22, 2021",puts,SPY211122P00444000,2021-11-19 3:28PM EST,444.0,0.03,0.02,0.03,-0.01,-25.00%,651,2245,30.86%
"November 22, 2021",puts,SPY211122P00445000,2021-11-19 3:57PM EST,445.0,0.03,0.02,0.03,-0.01,-25.00%,331,3796,29.69%
"November 22, 2021",puts,SPY211122P00446000,2021-11-19 4:12PM EST,446.0,0.03,0.03,0.04,-0.02,-40.00%,228,595,29.69%
"November 22, 2021",puts,SPY211122P00447000,2021-11-19 3:58PM EST,447.0,0.03,0.03,0.04,-0.02,-40.00%,760,1638,28.52%
"November 22, 2021",puts,SPY211122P00448000,2021-11-19 3:45PM EST,448.0,0.03,0.03,0.04,-0.02,-40.00%,629,708,27.34%
"November 22, 2021",puts,SPY211122P00449000,2021-11-19 2:28PM EST,449.0,0.03,0.03,0.04,-0.02,-40.00%,27,1721,26.17%
"November 22, 2021",puts,SPY211122P00450000,2021-11-19 4:00PM EST,450.0,0.04,0.03,0.04,-0.02,-33.33%,587,7296,25.00%
"November 22, 2021",puts,SPY211122P00451000,2021-11-19 4:04PM EST,451.0,0.04,0.03,0.04,-0.01,-20.00%,4612,2875,23.83%
"November 22, 2021",puts,SPY211122P00452000,2021-11-19 4:14PM EST,452.0,0.04,0.03,0.04,-0.03,-42.86%,534,6013,22.66%
"November 22, 2021",puts,SPY211122P00453000,2021-11-19 4:05PM EST,453.0,0.04,0.04,0.05,-0.03,-42.86%,1099,3274,22.27%
"November 22, 2021",puts,SPY211122P00454000,2021-11-19 4:09PM EST,454.0,0.05,0.04,0.05,-0.03,-37.50%,949,3647,21.00%
"November 22, 2021",puts,SPY211122P00455000,2021-11-19 4:12PM EST,455.0,0.04,0.04,0.05,-0.05,-55.56%,1080,2499,19.83%
"November 22, 2021",puts,SPY211122P00456000,2021-11-19 4:07PM EST,456.0,0.06,0.04,0.05,-0.03,-33.33%,1931,5421,18.56%
"November 22, 2021",puts,SPY211122P00457000,2021-11-19 4:12PM EST,457.0,0.06,0.05,0.06,-0.05,-45.45%,4692,2292,17.87%
"November 22, 2021",puts,SPY211122P00458000,2021-11-19 4:14PM EST,458.0,0.06,0.05,0.06,-0.06,-50.00%,2925,3948,16.60%
"November 22, 2021",puts,SPY211122P00459000,2021-11-19 4:14PM EST,459.0,0.06,0.06,0.07,-0.08,-57.14%,4024,3340,15.67%
"November 22, 2021",puts,SPY211122P00460000,2021-11-19 4:14PM EST,460.0,0.07,0.07,0.08,-0.1,-58.82%,10619,9100,14.70%
"November 22, 2021",puts,SPY211122P00461000,2021-11-19 4:14PM EST,461.0,0.09,0.09,0.1,-0.12,-57.14%,3806,2877,13.92%
"November 22, 2021",puts,SPY211122P00462000,2021-11-19 4:14PM EST,462.0,0.12,0.11,0.12,-0.13,-52.00%,11798,4739,12.99%
"November 22, 2021",puts,SPY211122P00463000,2021-11-19 4:13PM EST,463.0,0.14,0.15,0.16,-0.17,-54.84%,14231,3204,12.31%
"November 22, 2021",puts,SPY211122P00464000,2021-11-19 4:14PM EST,464.0,0.2,0.19,0.2,-0.18,-47.37%,17030,5058,11.38%
"November 22, 2021",puts,SPY211122P00465000,2021-11-19 4:14PM EST,465.0,0.27,0.26,0.27,-0.17,-38.64%,34144,9915,10.60%
"November 22, 2021",puts,SPY211122P00466000,2021-11-19 4:14PM EST,466.0,0.38,0.37,0.38,-0.23,-37.70%,16834,8916,9.89%
"November 22, 2021",puts,SPY211122P00467000,2021-11-19 4:14PM EST,467.0,0.53,0.53,0.54,-0.29,-35.37%,44185,9933,9.17%
"November 22, 2021",puts,SPY211122P00468000,2021-11-19 4:14PM EST,468.0,0.77,0.76,0.78,-0.31,-28.70%,49048,6915,8.47%
"November 22, 2021",puts,SPY211122P00469000,2021-11-19 4:14PM EST,469.0,1.13,1.12,1.13,-0.31,-21.53%,93589,6450,7.75%
"November 22, 2021",puts,SPY211122P00470000,2021-11-19 4:14PM EST,470.0,1.65,1.62,1.65,-0.21,-11.29%,52993,4876,7.20%
"November 22, 2021",puts,SPY211122P00471000,2021-11-19 4:14PM EST,471.0,2.31,2.3,2.39,0.06,+2.67%,13744,1662,7.20%
"November 22, 2021",puts,SPY211122P00472000,2021-11-19 4:14PM EST,472.0,3.16,3.1,3.22,0.01,+0.32%,3307,1463,6.89%
"November 22, 2021",puts,SPY211122P00473000,2021-11-19 4:07PM EST,473.0,4.25,3.87,4.13,0.37,+9.54%,1958,632,6.06%
"November 22, 2021",puts,SPY211122P00474000,2021-11-19 4:14PM EST,474.0,4.97,4.82,5.17,0.35,+7.58%,1837,284,8.79%
"November 22, 2021",puts,SPY211122P00475000,2021-11-19 4:10PM EST,475.0,6.12,5.81,6.15,0.54,+9.68%,712,137,9.38%
"November 22, 2021",puts,SPY211122P00476000,2021-11-19 4:08PM EST,476.0,7.18,6.79,7.14,1.03,+16.75%,45,71,10.16%
"November 22, 2021",puts,SPY211122P00477000,2021-11-19 3:06PM EST,477.0,7.81,7.76,8.13,-2.0,-20.39%,34,12,10.74%
"November 22, 2021",puts,SPY211122P00478000,2021-11-19 1:37PM EST,478.0,9.05,8.85,9.13,0.05,+0.56%,3,23,11.82%
"November 22, 2021",puts,SPY211122P00479000,2021-11-19 1:52PM EST,479.0,9.76,9.85,10.14,0.54,+5.86%,51,10,13.67%
"November 22, 2021",puts,SPY211122P00480000,2021-11-19 3:53PM EST,480.0,11.3,10.79,11.14,0.31,+2.82%,25,81,14.84%
"November 22, 2021",puts,SPY211122P00481000,2021-11-19 3:09PM EST,481.0,11.62,11.74,12.13,0.33,+2.92%,103,40,15.04%
"November 22, 2021",puts,SPY211122P00482000,2021-11-19 11:04AM EST,482.0,12.27,12.74,13.13,-0.19,-1.52%,88,314,16.21%
"November 22, 2021",puts,SPY211122P00485000,2021-11-19 1:05PM EST,485.0,14.64,15.84,16.13,-0.88,-5.67%,61,20,19.14%
"November 22, 2021",puts,SPY211122P00489000,2021-11-19 3:09PM EST,489.0,19.64,19.75,20.13,0.3,+1.55%,87,190,23.44%
"November 22, 2021",puts,SPY211122P00490000,2021-11-19 3:40PM EST,490.0,21.0,20.76,21.12,0.7,+3.45%,65,3,22.66%
"November 22, 2021",puts,SPY211122P00492000,2021-11-18 3:25PM EST,492.0,22.35,22.75,23.12,0.0,-,101,100,24.22%
"November 22, 2021",puts,SPY211122P00495000,2021-11-19 3:26PM EST,495.0,25.87,25.77,26.17,0.43,+1.69%,92,0,33.40%
"November 22, 2021",puts,SPY211122P00497000,2021-11-19 3:26PM EST,497.0,27.82,27.75,28.19,-0.02,-0.07%,65,1,37.11%
"November 22, 2021",calls,SPY211122C00320000,2021-10-29 10:51AM EST,320.0,138.1,148.8,149.25,0.0,-,1,1,209.57%
"November 22, 2021",calls,SPY211122C00345000,2021-10-18 1:24PM EST,345.0,101.85,123.79,124.24,0.0,-,-,2,170.31%
"November 22, 2021",calls,SPY211122C00350000,2021-10-18 1:26PM EST,350.0,96.87,118.8,119.25,0.0,-,-,10,164.84%
"November 22, 2021",calls,SPY211122C00355000,2021-11-12 4:12PM EST,355.0,112.72,113.8,114.25,0.0,-,20,20,157.42%
"November 22, 2021",calls,SPY211122C00360000,2021-11-18 10:20AM EST,360.0,106.92,108.79,109.24,0.0,-,20,21,149.02%
"November 22, 2021",calls,SPY211122C00390000,2021-11-12 11:52AM EST,390.0,76.93,78.8,79.24,0.0,-,1,1,108.59%
"November 22, 2021",calls,SPY211122C00400000,2021-10-29 3:12PM EST,400.0,60.0,68.83,69.25,0.0,-,1,2,97.27%
"November 22, 2021",calls,SPY211122C00405000,2021-11-19 10:47AM EST,405.0,64.53,63.85,64.25,4.21,+6.98%,13,6,91.41%
"November 22, 2021",calls,SPY211122C00408000,2021-11-17 3:36PM EST,408.0,60.52,60.84,61.26,0.0,-,1,2,87.50%
"November 22, 2021",calls,SPY211122C00409000,2021-11-18 11:08AM EST,409.0,58.49,59.83,60.26,0.0,-,50,51,85.74%
"November 22, 2021",calls,SPY211122C00410000,2021-11-18 11:08AM EST,410.0,57.49,58.84,59.25,0.0,-,50,51,84.38%
"November 22, 2021",calls,SPY211122C00412000,2021-11-15 10:40AM EST,412.0,55.6,56.83,57.26,0.0,-,1,1,81.74%
"November 22, 2021",calls,SPY211122C00419000,2021-11-19 12:33PM EST,419.0,51.52,49.85,50.29,2.65,+5.42%,1,2,74.12%
"November 22, 2021",calls,SPY211122C00420000,2021-11-19 3:52PM EST,420.0,48.8,48.84,49.26,-0.7,-1.41%,13,13,71.48%
"November 22, 2021",calls,SPY211122C00422000,2021-11-04 9:30AM EST,422.0,45.09,46.83,47.28,0.0,-,1,1,69.14%
"November 22, 2021",calls,SPY211122C00423000,2021-11-19 3:18PM EST,423.0,46.04,45.85,46.26,10.88,+30.94%,10,0,67.77%
"November 22, 2021",calls,SPY211122C00425000,2021-11-19 4:12PM EST,425.0,43.89,43.85,44.28,0.77,+1.79%,12,18,65.72%
"November 22, 2021",calls,SPY211122C00427000,2021-11-19 3:11PM EST,427.0,42.22,41.85,42.25,1.61,+3.96%,30,11,62.21%
"November 22, 2021",calls,SPY211122C00428000,2021-11-19 10:27AM EST,428.0,40.83,40.86,41.26,1.43,+3.63%,15,40,61.43%
"November 22, 2021",calls,SPY211122C00429000,2021-10-22 11:51AM EST,429.0,40.36,39.84,40.27,14.15,+53.99%,3,30,59.77%
"November 22, 2021",calls,SPY211122C00430000,2021-11-18 11:15AM EST,430.0,38.09,38.87,39.26,0.0,-,10,23,58.98%
"November 22, 2021",calls,SPY211122C00431000,2021-11-09 3:43PM EST,431.0,36.58,37.86,38.21,0.0,-,28,27,55.96%
"November 22, 2021",calls,SPY211122C00432000,2021-11-19 10:49AM EST,432.0,37.46,36.86,37.27,-0.1,-0.27%,20,39,56.35%
"November 22, 2021",calls,SPY211122C00433000,2021-11-19 10:49AM EST,433.0,36.47,35.87,36.27,4.88,+15.45%,20,1,55.27%
"November 22, 2021",calls,SPY211122C00434000,2021-11-12 3:55PM EST,434.0,33.24,34.87,35.27,0.0,-,1,4,53.91%
"November 22, 2021",calls,SPY211122C00435000,2021-11-19 3:30PM EST,435.0,34.21,33.87,34.26,1.43,+4.36%,30,24,52.25%
"November 22, 2021",calls,SPY211122C00436000,2021-11-19 12:03PM EST,436.0,34.06,32.86,33.27,4.7,+16.01%,1,4,50.98%
"November 22, 2021",calls,SPY211122C00437000,2021-11-19 10:19AM EST,437.0,32.6,31.92,32.26,2.42,+8.02%,1,15,50.68%
"November 22, 2021",calls,SPY211122C00438000,2021-11-15 12:40PM EST,438.0,29.1,30.91,31.27,0.0,-,1,36,55.62%
"November 22, 2021",calls,SPY211122C00439000,2021-11-16 11:34AM EST,439.0,30.78,29.92,30.28,0.0,-,3,76,54.39%
"November 22, 2021",calls,SPY211122C00440000,2021-11-19 3:57PM EST,440.0,28.93,28.92,29.27,-0.75,-2.53%,17,241,52.59%
"November 22, 2021",calls,SPY211122C00441000,2021-11-19 3:57PM EST,441.0,27.93,27.93,28.21,1.11,+4.14%,22,364,49.32%
"November 22, 2021",calls,SPY211122C00442000,2021-11-19 3:44PM EST,442.0,26.94,26.93,27.27,0.29,+1.09%,3,172,49.56%
"November 22, 2021",calls,SPY211122C00443000,2021-11-19 3:56PM EST,443.0,25.98,25.85,26.21,0.3,+1.17%,13,74,46.39%
"November 22, 2021",calls,SPY211122C00444000,2021-11-19 3:57PM EST,444.0,24.95,24.86,25.27,-0.92,-3.56%,5,122,46.53%
"November 22, 2021",calls,SPY211122C00445000,2021-11-19 3:36PM EST,445.0,24.21,23.87,24.21,-0.2,-0.82%,42,211,43.41%
"November 22, 2021",calls,SPY211122C00446000,2021-11-19 4:05PM EST,446.0,22.95,22.93,23.27,-0.78,-3.29%,14,211,43.46%
"November 22, 2021",calls,SPY211122C00447000,2021-11-19 12:31PM EST,447.0,22.13,21.86,22.28,-0.38,-1.69%,15,58,42.19%
"November 22, 2021",calls,SPY211122C00448000,2021-11-19 3:29PM EST,448.0,21.28,20.94,21.29,1.85,+9.52%,35,102,40.87%
"November 22, 2021",calls,SPY211122C00449000,2021-11-19 3:53PM EST,449.0,19.72,19.94,20.29,-1.19,-5.69%,320,460,39.31%
"November 22, 2021",calls,SPY211122C00450000,2021-11-19 4:05PM EST,450.0,19.06,18.86,19.28,-0.64,-3.25%,87,195,37.50%
"November 22, 2021",calls,SPY211122C00451000,2021-11-19 3:51PM EST,451.0,17.94,17.87,18.27,-0.23,-1.27%,19,208,35.69%
"November 22, 2021",calls,SPY211122C00452000,2021-11-19 3:58PM EST,452.0,16.99,16.94,17.28,1.31,+8.35%,14,461,34.33%
"November 22, 2021",calls,SPY211122C00453000,2021-11-19 2:56PM EST,453.0,16.41,15.95,16.22,-0.56,-3.30%,9,276,31.49%
"November 22, 2021",calls,SPY211122C00454000,2021-11-19 4:01PM EST,454.0,15.01,14.88,15.22,-0.96,-6.01%,64,383,29.93%
"November 22, 2021",calls,SPY211122C00455000,2021-11-19 4:02PM EST,455.0,13.94,13.95,14.21,-0.99,-6.63%,117,551,28.13%
"November 22, 2021",calls,SPY211122C00456000,2021-11-19 3:38PM EST,456.0,13.15,12.95,13.23,-0.56,-4.08%,49,931,26.95%
"November 22, 2021",calls,SPY211122C00457000,2021-11-19 3:54PM EST,457.0,11.78,11.88,12.28,-1.02,-7.97%,112,822,26.22%
"November 22, 2021",calls,SPY211122C00458000,2021-11-19 3:46PM EST,458.0,10.95,10.96,11.23,-1.0,-8.37%,103,518,23.68%
"November 22, 2021",calls,SPY211122C00459000,2021-11-19 3:55PM EST,459.0,9.92,9.97,10.23,-1.02,-9.32%,193,651,22.05%
"November 22, 2021",calls,SPY211122C00460000,2021-11-19 4:07PM EST,460.0,9.08,8.98,9.24,-1.0,-9.92%,698,1018,20.53%
"November 22, 2021",calls,SPY211122C00461000,2021-11-19 4:03PM EST,461.0,7.97,8.0,8.25,-1.04,-11.54%,318,668,18.97%
"November 22, 2021",calls,SPY211122C00462000,2021-11-19 4:05PM EST,462.0,7.12,7.02,7.33,-0.66,-8.48%,258,876,18.31%
"November 22, 2021",calls,SPY211122C00463000,2021-11-19 4:05PM EST,463.0,6.13,6.11,6.37,-0.55,-8.23%,332,1312,16.94%
"November 22, 2021",calls,SPY211122C00464000,2021-11-19 4:08PM EST,464.0,5.11,5.16,5.29,-0.8,-13.54%,974,1509,14.06%
"November 22, 2021",calls,SPY211122C00465000,2021-11-19 4:14PM EST,465.0,4.33,4.24,4.36,-0.91,-17.37%,2281,1405,12.89%
"November 22, 2021",calls,SPY211122C00466000,2021-11-19 4:14PM EST,466.0,3.47,3.35,3.45,-0.84,-19.49%,2834,3200,11.65%
"November 22, 2021",calls,SPY211122C00467000,2021-11-19 4:13PM EST,467.0,2.51,2.52,2.6,-0.81,-24.40%,3347,5176,10.60%
"November 22, 2021",calls,SPY211122C00468000,2021-11-19 4:13PM EST,468.0,1.8,1.8,1.83,-0.92,-33.82%,14236,4403,9.67%
"November 22, 2021",calls,SPY211122C00469000,2021-11-19 4:14PM EST,469.0,1.16,1.16,1.18,-0.76,-39.58%,48659,4378,8.91%
"November 22, 2021",calls,SPY211122C00470000,2021-11-19 4:14PM EST,470.0,0.67,0.67,0.69,-0.63,-48.46%,102690,6839,8.37%
"November 22, 2021",calls,SPY211122C00471000,2021-11-19 4:14PM EST,471.0,0.36,0.36,0.37,-0.56,-60.87%,88152,8758,8.09%
"November 22, 2021",calls,SPY211122C00472000,2021-11-19 4:14PM EST,472.0,0.2,0.18,0.19,-0.36,-64.29%,61520,9309,8.06%
"November 22, 2021",calls,SPY211122C00473000,2021-11-19 4:14PM EST,473.0,0.1,0.1,0.11,-0.24,-70.59%,36068,18781,8.45%
"November 22, 2021",calls,SPY211122C00474000,2021-11-19 4:14PM EST,474.0,0.05,0.05,0.06,-0.15,-75.00%,19827,3890,8.79%
"November 22, 2021",calls,SPY211122C00475000,2021-11-19 4:12PM EST,475.0,0.03,0.03,0.04,-0.09,-75.00%,19774,6803,9.38%
"November 22, 2021",calls,SPY211122C00476000,2021-11-19 4:13PM EST,476.0,0.03,0.02,0.03,-0.04,-57.14%,7240,2875,10.16%
"November 22, 2021",calls,SPY211122C00477000,2021-11-19 4:14PM EST,477.0,0.02,0.01,0.02,-0.03,-60.00%,2863,2509,10.74%
"November 22, 2021",calls,SPY211122C00478000,2021-11-19 4:10PM EST,478.0,0.01,0.01,0.02,-0.02,-66.67%,1309,5645,11.72%
"November 22, 2021",calls,SPY211122C00479000,2021-11-19 4:10PM EST,479.0,0.01,0.01,0.02,-0.02,-66.67%,487,2332,12.89%
"November 22, 2021",calls,SPY211122C00480000,2021-11-19 4:08PM EST,480.0,0.01,0.01,0.02,-0.01,-50.00%,2652,2657,14.06%
"November 22, 2021",calls,SPY211122C00481000,2021-11-19 4:14PM EST,481.0,0.01,0.0,0.01,-0.01,-50.00%,3395,1365,13.67%
"November 22, 2021",calls,SPY211122C00482000,2021-11-19 3:25PM EST,482.0,0.05,0.0,0.01,0.04,+400.00%,58,1026,14.84%
"November 22, 2021",calls,SPY211122C00483000,2021-11-19 2:16PM EST,483.0,0.01,0.0,0.01,0.0,-,4,1352,15.63%
"November 22, 2021",calls,SPY211122C00484000,2021-11-18 3:15PM EST,484.0,0.02,0.0,0.01,0.01,+100.00%,1,891,16.80%
"November 22, 2021",calls,SPY211122C00485000,2021-11-19 3:51PM EST,485.0,0.01,0.0,0.01,-0.01,-50.00%,8,1038,17.58%
"November 22, 2021",calls,SPY211122C00486000,2021-11-19 2:57PM EST,486.0,0.01,0.0,0.01,0.0,-,401,1572,18.75%
"November 22, 2021",calls,SPY211122C00487000,2021-11-18 12:51PM EST,487.0,0.02,0.0,0.01,0.0,-,702,1060,19.53%
"November 22, 2021",calls,SPY211122C00488000,2021-11-19 3:51PM EST,488.0,0.01,0.0,0.01,0.0,-,3,457,20.70%
"November 22, 2021",calls,SPY211122C00489000,2021-11-16 9:30AM EST,489.0,0.01,0.0,0.01,0.0,-,20,245,21.49%
"November 22, 2021",calls,SPY211122C00490000,2021-11-19 3:51PM EST,490.0,0.01,0.0,0.01,0.0,-,19,601,22.66%
"November 22, 2021",calls,SPY211122C00491000,2021-11-19 3:51PM EST,491.0,0.01,0.0,0.01,0.0,-,345,97,23.44%
"November 22, 2021",calls,SPY211122C00492000,2021-11-19 3:54PM EST,492.0,0.01,0.0,0.01,0.0,-,1197,194,24.22%
"November 22, 2021",calls,SPY211122C00493000,2021-11-15 2:39PM EST,493.0,0.01,0.0,0.01,0.0,-,1565,1901,25.00%
"November 22, 2021",calls,SPY211122C00494000,2021-11-15 11:36AM EST,494.0,0.01,0.0,0.01,0.0,-,564,716,26.17%
"November 22, 2021",calls,SPY211122C00495000,2021-11-15 1:24PM EST,495.0,0.01,0.0,0.01,0.0,-,1,3252,26.95%
"November 22, 2021",calls,SPY211122C00496000,2021-11-11 12:38PM EST,496.0,0.01,0.0,0.01,0.0,-,-,312,28.13%
"November 22, 2021",calls,SPY211122C00497000,2021-11-10 1:36PM EST,497.0,0.01,0.0,0.01,-0.01,-50.00%,116,260,28.91%
"November 22, 2021",calls,SPY211122C00498000,2021-11-09 10:14AM EST,498.0,0.02,0.0,0.01,0.0,-,10,18,29.69%
"November 22, 2021",calls,SPY211122C00499000,2021-11-05 11:34AM EST,499.0,0.05,0.0,0.01,0.0,-,2,2,30.47%
"November 22, 2021",calls,SPY211122C00500000,2021-11-19 3:24PM EST,500.0,0.01,0.0,0.01,0.0,-,3,2847,31.25%
"November 22, 2021",calls,SPY211122C00501000,2021-11-10 3:22PM EST,501.0,0.01,0.0,0.01,0.0,-,-,40,32.42%
"November 22, 2021",calls,SPY211122C00503000,2021-11-10 9:43AM EST,503.0,0.01,0.0,0.01,0.0,-,40,58,34.38%
