Contract Name,Type,Put/Call,Strike,Maturity (Year),Market Price,Implied Vol,Delta,Gamma,Vega,Rho,Theta
SPY210719C00407000,European,Call,407.0,0.0079365079,28.96,0.900497,0.777806,0.00860554,11.4427,2.43243,-657.35
SPY210719C00410000,European,Call,410.0,0.0079365079,23.05,0.560417,0.85137,0.0107608,8.90484,2.73112,-323.592
SPY210719C00411000,European,Call,411.0,0.0079365079,22.24,0.562897,0.83876,0.0113055,9.39695,2.69439,-342.31
SPY210719C00412000,European,Call,412.0,0.0079365079,21.3,0.550575,0.83169,0.0118844,9.66187,2.67765,-344.149
SPY210719C00413000,European,Call,413.0,0.0079365079,20.0,0.50045,0.84087,0.0126072,9.3164,2.71939,-302.886
SPY210719C00414000,European,Call,414.0,0.0079365079,18.22,0.390968,0.88434,0.0129724,7.48914,2.88231,-194.169
SPY210719C00415000,European,Call,415.0,0.0079365079,16.42,0.212402,0.979971,0.00593936,1.8628,3.22392,-35.7808
SPY210719C00416000,European,Call,416.0,0.0079365079,15.86,0.307236,0.909654,0.013794,6.25796,2.98768,-131.187
SPY210719C00417000,European,Call,417.0,0.0079365079,14.34,,,,,,
SPY210719C00418000,European,Call,418.0,0.0079365079,14.85,0.392399,0.820604,0.0173654,10.0619,2.6909,-257.802
SPY210719C00419000,European,Call,419.0,0.0079365079,12.71,0.237656,0.916828,0.0167634,5.88274,3.03724,-98.3039
SPY210719C00420000,European,Call,420.0,0.0079365079,11.44,0.162811,0.967681,0.0115667,2.78076,3.22137,-39.368
SPY210719C00421000,European,Call,421.0,0.0079365079,10.71,0.207863,0.906987,0.0208328,6.39432,3.01943,-93.9016
SPY210719C00422000,European,Call,422.0,0.0079365079,9.19,,,,,,
SPY210719C00423000,European,Call,423.0,0.0079365079,8.43,0.12291,0.96355,0.0169138,3.06972,3.23112,-34.6481
SPY210719C00424000,European,Call,424.0,0.0079365079,7.6,0.145664,0.908768,0.0293061,6.30347,3.0502,-68.115
SPY210719C00425000,European,Call,425.0,0.0079365079,6.54,0.121174,0.916519,0.0329696,5.89919,3.08515,-55.421
SPY210719C00426000,European,Call,426.0,0.0079365079,5.48,0.0962448,0.92832,0.036972,5.25436,3.13395,-42.4105
SPY210719C00427000,European,Call,427.0,0.0079365079,4.5,0.0854588,0.909731,0.0495602,6.25401,3.0781,-44.0341
SPY210719C00428000,European,Call,428.0,0.0079365079,3.62,0.0854015,0.84909,0.071335,8.99574,2.87753,-58.0876
SPY210719C00429000,European,Call,429.0,0.0079365079,2.81,0.0851583,0.766647,0.0935431,11.7627,2.60177,-71.8661
SPY210719C00430000,European,Call,430.0,0.0079365079,2.1,0.0854182,0.662645,0.111295,14.0377,2.25143,-83.1217
SPY210719C00431000,European,Call,431.0,0.0079365079,1.5,0.0855374,0.545496,0.120582,15.2303,1.85521,-88.3198
SPY210719C00432000,European,Call,432.0,0.0079365079,0.96,0.0816715,0.421064,0.124621,15.029,1.4336,-82.1553
SPY210719C00433000,European,Call,433.0,0.0079365079,0.56,0.0785154,0.295281,0.11441,13.2644,1.00624,-68.9997
SPY210719C00434000,European,Call,434.0,0.0079365079,0.32,0.0784963,0.19269,0.0907429,10.5179,0.656998,-54.2259
SPY210719C00435000,European,Call,435.0,0.0079365079,0.16,0.0771862,0.111692,0.0640938,7.30508,0.381029,-36.8054
SPY210719C00436000,European,Call,436.0,0.0079365079,0.09,0.0798982,0.0669876,0.042273,4.98734,0.22857,-25.8738
SPY210719C00437000,European,Call,437.0,0.0079365079,0.04,0.0793761,0.0334394,0.0244008,2.85997,0.114139,-14.6861
SPY210719C00438000,European,Call,438.0,0.0079365079,0.03,0.0865549,0.0240596,0.0170155,2.17474,0.0821128,-12.1352
SPY210719C00439000,European,Call,439.0,0.0079365079,0.03,0.0973141,0.021694,0.0138705,1.99313,0.0740159,-12.4686
SPY210719C00440000,European,Call,440.0,0.0079365079,0.02,0.101737,0.0145254,0.0094227,1.41554,0.0495585,-9.23968
SPY210719C00441000,European,Call,441.0,0.0079365079,0.01,0.102248,0.00773756,0.00541752,0.817946,0.0264047,-5.35779
SPY210719C00442000,European,Call,442.0,0.0079365079,0.01,0.111418,0.00715845,0.00464228,0.763758,0.0244225,-5.4433
SPY210719C00443000,European,Call,443.0,0.0079365079,0.01,0.120485,0.00666808,0.00403219,0.71737,0.0227441,-5.52181
SPY210719C00444000,European,Call,444.0,0.0079365079,0.01,0.129459,0.00624735,0.00354242,0.677175,0.021304,-5.59471
SPY210719C00445000,European,Call,445.0,0.0079365079,0.01,0.138346,0.00588161,0.00314229,0.641921,0.0200521,-5.66237
SPY210719C00446000,European,Call,446.0,0.0079365079,0.01,0.147153,0.00556067,0.00281069,0.610733,0.0189536,-5.72569
SPY210719C00447000,European,Call,447.0,0.0079365079,0.02,0.169038,0.00921009,0.00381837,0.953083,0.0313655,-10.2554
SPY210719C00448000,European,Call,448.0,0.0079365079,0.01,0.164547,0.00502303,0.00229622,0.55792,0.0171134,-5.84128
SPY210719C00449000,European,Call,449.0,0.0079365079,0.01,0.173143,0.00479545,0.00209389,0.535339,0.0163344,-5.89447
SPY210719C00450000,European,Call,450.0,0.0079365079,0.01,0.181676,0.00458978,0.00191902,0.514809,0.0156305,-5.94491
SPY210719C00451000,European,Call,451.0,0.0079365079,0.01,0.19015,0.00440309,0.00176675,0.496068,0.0149915,-5.9931
SPY210719C00452000,European,Call,452.0,0.0079365079,0.01,0.198566,0.00423252,0.00163317,0.478855,0.0144077,-6.03882
SPY210719C00453000,European,Call,453.0,0.0079365079,0.01,0.206927,0.00407609,0.00151525,0.46299,0.0138722,-6.08243
SPY210719C00454000,European,Call,454.0,0.0079365079,0.01,0.215237,0.00393232,0.00141066,0.44834,0.0133801,-6.1245
SPY210719C00455000,European,Call,455.0,0.0079365079,0.01,0.223496,0.00379943,0.00131731,0.434738,0.0129253,-6.16473
SPY210719C00456000,European,Call,456.0,0.0079365079,0.01,0.231707,0.00367634,0.00123365,0.422086,0.012504,-6.20352
SPY210719C00457000,European,Call,457.0,0.0079365079,0.01,0.23987,0.00356178,0.00115829,0.410264,0.0121119,-6.2406
SPY210719C00458000,European,Call,458.0,0.0079365079,0.01,0.247989,0.00345515,0.0010902,0.399217,0.0117469,-6.27663
SPY210719C00459000,European,Call,459.0,0.0079365079,0.01,0.256063,0.00335538,0.00102839,0.388842,0.0114054,-6.31118
SPY210719C00460000,European,Call,460.0,0.0079365079,0.01,0.264096,0.00326207,0.000972141,0.379105,0.011086,-6.3449
SPY210719C00461000,European,Call,461.0,0.0079365079,0.01,0.272086,0.0031743,0.000920721,0.369916,0.0107856,-6.3772
SPY210719C00462000,European,Call,462.0,0.0079365079,0.01,0.280036,0.00309175,0.000873612,0.361245,0.0105031,-6.40853
SPY210719C00463000,European,Call,463.0,0.0079365079,0.01,0.287948,0.00301403,0.000830348,0.353056,0.010237,-6.43915
SPY210719C00464000,European,Call,464.0,0.0079365079,0.01,0.295821,0.00294056,0.000790474,0.345291,0.00998557,-6.46871
SPY210719C00465000,European,Call,465.0,0.0079365079,0.01,0.303657,0.00287108,0.00075365,0.337927,0.00974774,-6.49748
SPY210719C00466000,European,Call,466.0,0.0079365079,0.01,0.311456,0.00280519,0.000719551,0.330923,0.00952222,-6.52535
SPY210719C00469000,European,Call,469.0,0.0079365079,0.01,0.334644,0.00262678,0.000631118,0.311862,0.00891154,-6.60485
SPY210719C00470000,European,Call,470.0,0.0079365079,0.01,0.342306,0.00257293,0.000605553,0.306081,0.00872725,-6.63009
SPY210719C00475000,European,Call,475.0,0.0079365079,0.02,0.407092,0.00415771,0.000783997,0.471277,0.0140722,-12.1341
SPY210719C00480000,European,Call,480.0,0.0079365079,0.01,0.417215,0.00214649,0.00042166,0.259771,0.00726761,-6.85243
SPY210719C00485000,European,Call,485.0,0.0079365079,0.01,0.453603,0.0019882,0.000361792,0.242328,0.00672582,-6.94764
SPY210719C00490000,European,Call,490.0,0.0079365079,0.01,0.489346,0.00185473,0.000314847,0.227501,0.00626899,-7.0347
SPY210719C00500000,European,Call,500.0,0.0079365079,0.01,0.55905,0.00164173,0.000246633,0.203597,0.00553992,-7.18936
SPY210719P00215000,European,Put,215.0,0.0079365079,0.01,2.40537,-0.000394574,1.54378e-05,0.0548323,-0.00142991,-8.30438
SPY210719P00220000,European,Put,220.0,0.0079365079,0.02,2.46179,-0.000736908,2.68803e-05,0.0977134,-0.00268102,-15.1456
SPY210719P00225000,European,Put,225.0,0.0079365079,0.01,2.25588,-0.000420359,1.74566e-05,0.0581493,-0.00151816,-8.2591
SPY210719P00230000,European,Put,230.0,0.0079365079,0.01,2.18354,-0.000434056,1.85793e-05,0.0599045,-0.00156505,-8.23537
SPY210719P00235000,European,Put,235.0,0.0079365079,0.01,2.11271,-0.000448356,1.97879e-05,0.0617319,-0.00161399,-8.21112
SPY210719P00240000,European,Put,240.0,0.0079365079,0.01,2.04332,-0.0004633,2.10911e-05,0.0636363,-0.00166514,-8.18624
SPY210719P00245000,European,Put,245.0,0.0079365079,0.02,2.08897,-0.00086584,3.67463e-05,0.113348,-0.00312232,-14.9067
SPY210719P00250000,European,Put,250.0,0.0079365079,0.06,2.23287,-0.00224358,8.20113e-05,0.2704,-0.0081555,-38.0099
SPY210719P00255000,European,Put,255.0,0.0079365079,0.01,1.84313,-0.000512419,2.56688e-05,0.0698604,-0.00183327,-8.10582
SPY210719P00260000,European,Put,260.0,0.0079365079,0.02,1.88236,-0.000958339,4.47663e-05,0.124429,-0.00343893,-14.7443
SPY210719P00265000,European,Put,265.0,0.0079365079,0.01,1.71578,-0.000549417,2.94111e-05,0.0745146,-0.0019599,-8.04799
SPY210719P00270000,European,Put,270.0,0.0079365079,0.01,1.65379,-0.000569436,3.15401e-05,0.0770216,-0.00202843,-8.01795
SPY210719P00275000,European,Put,275.0,0.0079365079,0.03,1.74856,-0.00149953,7.2603e-05,0.187458,-0.00537068,-20.6322
SPY210719P00280000,European,Put,280.0,0.0079365079,0.05,1.76763,-0.00237822,0.000109211,0.285053,-0.00853697,-31.715
SPY210719P00285000,European,Put,285.0,0.0079365079,0.03,1.61939,-0.00161471,8.3866e-05,0.200542,-0.00576492,-20.4402
SPY210719P00290000,European,Put,290.0,0.0079365079,0.15,1.84449,-0.00623435,0.000248173,0.675928,-0.0225294,-78.4689
SPY210719P00295000,European,Put,295.0,0.0079365079,0.01,1.35883,-0.000688554,4.57454e-05,0.091787,-0.00243614,-7.84934
SPY210719P00300000,European,Put,300.0,0.0079365079,0.02,1.38106,-0.00129225,8.02441e-05,0.163642,-0.00458184,-14.2225
SPY210719P00305000,European,Put,305.0,0.0079365079,0.01,1.24712,-0.000747783,5.37823e-05,0.0990414,-0.00263887,-7.77265
SPY210719P00310000,European,Put,310.0,0.0079365079,0.01,1.19246,-0.000780609,5.85179e-05,0.103039,-0.00275123,-7.73154
SPY210719P00315000,European,Put,315.0,0.0079365079,0.01,1.13856,-0.000815972,6.38396e-05,0.107328,-0.00287227,-7.68892
SPY210719P00320000,European,Put,320.0,0.0079365079,0.01,1.08539,-0.000854213,6.98489e-05,0.111948,-0.00300316,-7.64481
SPY210719P00325000,European,Put,325.0,0.0079365079,0.04,1.17249,-0.00286579,0.000194859,0.337365,-0.0101265,-24.886
SPY210719P00330000,European,Put,330.0,0.0079365079,0.01,0.981085,-0.000940645,8.44334e-05,0.122318,-0.003299,-7.54916
SPY210719P00335000,European,Put,335.0,0.0079365079,0.01,0.929899,-0.000989893,9.33545e-05,0.128186,-0.00346756,-7.49792
SPY210719P00340000,European,Put,340.0,0.0079365079,0.01,0.879316,-0.00104397,0.000103663,0.134597,-0.00365266,-7.44397
SPY210719P00345000,European,Put,345.0,0.0079365079,0.01,0.829304,-0.00110364,0.00011566,0.141634,-0.00385688,-7.38683
SPY210719P00350000,European,Put,350.0,0.0079365079,0.03,0.863687,-0.00293484,0.00027027,0.344685,-0.0102834,-18.7205
SPY210719P00355000,European,Put,355.0,0.0079365079,0.01,0.73088,-0.00124391,0.000146431,0.158033,-0.004337,-7.26211
SPY210719P00360000,European,Put,360.0,0.0079365079,0.01,0.682405,-0.00132723,0.000166412,0.167686,-0.00462218,-7.19351
SPY210719P00365000,European,Put,365.0,0.0079365079,0.01,0.634378,-0.00142178,0.000190626,0.178567,-0.00494583,-7.11991
SPY210719P00370000,European,Put,370.0,0.0079365079,0.01,0.586765,-0.00153014,0.000220381,0.190944,-0.0053167,-7.04059
SPY210719P00375000,European,Put,375.0,0.0079365079,0.01,0.539529,-0.00165569,0.000257536,0.205174,-0.00574645,-6.95458
SPY210719P00380000,European,Put,380.0,0.0079365079,0.01,0.49263,-0.00180311,0.000304823,0.221737,-0.00625103,-6.8607
SPY210719P00384000,European,Put,384.0,0.0079365079,0.01,0.455322,-0.00194104,0.000352654,0.237102,-0.00672315,-6.77872
SPY210719P00385000,European,Put,385.0,0.0079365079,0.02,0.477352,-0.00351855,0.000575696,0.40579,-0.012202,-12.1623
SPY210719P00386000,European,Put,386.0,0.0079365079,0.01,0.43673,-0.00201819,0.000380912,0.245645,-0.00698721,-6.73514
SPY210719P00387000,European,Put,387.0,0.0079365079,0.01,0.427449,-0.00205916,0.000396346,0.250166,-0.00712743,-6.71278
SPY210719P00388000,European,Put,388.0,0.0079365079,0.01,0.418175,-0.00210174,0.000412731,0.254855,-0.0072732,-6.68968
SPY210719P00389000,European,Put,389.0,0.0079365079,0.01,0.408911,-0.00214622,0.000430175,0.259742,-0.00742545,-6.66632
SPY210719P00390000,European,Put,390.0,0.0079365079,0.02,0.428237,-0.00389158,0.000702428,0.444176,-0.0134788,-11.938
SPY210719P00391000,European,Put,391.0,0.0079365079,0.01,0.390402,-0.00224095,0.000468558,0.270112,-0.00774967,-6.61741
SPY210719P00392000,European,Put,392.0,0.0079365079,0.01,0.381159,-0.00229162,0.000489741,0.275639,-0.00792311,-6.59226
SPY210719P00393000,European,Put,393.0,0.0079365079,0.03,0.417051,-0.00577736,0.00102597,0.631817,-0.0200128,-16.5331
SPY210719P00394000,European,Put,394.0,0.0079365079,0.03,0.406895,-0.00591003,0.00107297,0.644672,-0.0204669,-16.4569
SPY210719P00395000,European,Put,395.0,0.0079365079,0.02,0.37927,-0.00435458,0.000877051,0.491182,-0.0150636,-11.6856
SPY210719P00396000,European,Put,396.0,0.0079365079,0.02,0.369487,-0.00446106,0.000919914,0.501898,-0.015428,-11.6311
SPY210719P00397000,European,Put,397.0,0.0079365079,0.02,0.359706,-0.00457305,0.000966081,0.513133,-0.0158113,-11.5751
SPY210719P00398000,European,Put,398.0,0.0079365079,0.02,0.349925,-0.00469091,0.00101589,0.524918,-0.0162147,-11.5174
SPY210719P00399000,European,Put,399.0,0.0079365079,0.02,0.340143,-0.00481512,0.00106975,0.537296,-0.0166399,-11.4577
SPY210719P00400000,European,Put,400.0,0.0079365079,0.03,0.345973,-0.00686007,0.00143987,0.735589,-0.0237187,-15.9533
SPY210719P00401000,European,Put,401.0,0.0079365079,0.03,0.335813,-0.00705027,0.00151969,0.753566,-0.0243697,-15.8606
SPY210719P00402000,European,Put,402.0,0.0079365079,0.04,0.337317,-0.0091129,0.00189579,0.944273,-0.031509,-19.9606
SPY210719P00403000,European,Put,403.0,0.0079365079,0.03,0.315475,-0.00746548,0.00170138,0.792565,-0.0257909,-15.6653
SPY210719P00404000,European,Put,404.0,0.0079365079,0.04,0.316378,-0.00966118,0.00212724,0.993785,-0.0333857,-19.6955
SPY210719P00405000,European,Put,405.0,0.0079365079,0.04,0.305893,-0.00996228,0.00225993,1.02078,-0.0344163,-19.5559
SPY210719P00406000,European,Put,406.0,0.0079365079,0.04,0.295396,-0.010284,0.00240605,1.04949,-0.0355175,-19.4114
SPY210719P00407000,European,Put,407.0,0.0079365079,0.05,0.293453,-0.012647,0.00289875,1.25608,-0.043685,-23.0748
SPY210719P00408000,European,Put,408.0,0.0079365079,0.05,0.282675,-0.0130828,0.00309875,1.29343,-0.0451766,-22.882
SPY210719P00409000,European,Put,409.0,0.0079365079,0.05,0.271876,-0.0135518,0.00332136,1.33338,-0.046782,-22.681
SPY210719P00410000,European,Put,410.0,0.0079365079,0.06,0.267887,-0.0161674,0.00392326,1.55191,-0.0558138,-26.0035
SPY210719P00411000,European,Put,411.0,0.0079365079,0.06,0.256819,-0.0167932,0.00422757,1.6032,-0.0579558,-25.7439
SPY210719P00412000,European,Put,412.0,0.0079365079,0.06,0.245718,-0.0174732,0.00457101,1.65851,-0.0602831,-25.4711
SPY210719P00413000,European,Put,413.0,0.0079365079,0.07,0.240116,-0.0204595,0.00534954,1.89674,-0.0705842,-28.4549
SPY210719P00414000,European,Put,414.0,0.0079365079,0.07,0.228739,-0.0213663,0.00582558,1.96765,-0.0736878,-28.1069
SPY210719P00415000,European,Put,415.0,0.0079365079,0.07,0.217315,-0.0223655,0.00637313,2.04509,-0.0771078,-27.7393
SPY210719P00416000,European,Put,416.0,0.0079365079,0.09,0.214507,-0.0282437,0.00785115,2.48682,-0.0973865,-33.2788
SPY210719P00417000,European,Put,417.0,0.0079365079,0.08,0.198616,-0.0272596,0.0082324,2.4144,-0.0939388,-29.8947
SPY210719P00418000,European,Put,418.0,0.0079365079,0.09,0.190641,-0.0313464,0.00963196,2.71144,-0.108006,-32.2018
SPY210719P00419000,European,Put,419.0,0.0079365079,0.11,0.185212,-0.0383122,0.0116905,3.1972,-0.132008,-36.8616
SPY210719P00420000,European,Put,420.0,0.0079365079,0.11,0.172741,-0.0407199,0.0131715,3.3597,-0.140249,-36.0904
SPY210719P00421000,European,Put,421.0,0.0079365079,0.14,0.168058,-0.0513733,0.0163187,4.04963,-0.176951,-42.2803
SPY210719P00422000,European,Put,422.0,0.0079365079,0.15,0.157195,-0.0577409,0.0191356,4.44172,-0.198825,-43.3182
SPY210719P00423000,European,Put,423.0,0.0079365079,0.18,0.149802,-0.0702844,0.0233978,5.1756,-0.241997,-48.0301
SPY210719P00424000,European,Put,424.0,0.0079365079,0.24,0.145887,-0.0915638,0.0293401,6.32043,-0.315308,-57.0288
SPY210719P00425000,European,Put,425.0,0.0079365079,0.3,0.139359,-0.114449,0.0361225,7.43329,-0.394116,-63.9346
SPY210719P00426000,European,Put,426.0,0.0079365079,0.39,0.134147,-0.146211,0.0444632,8.80747,-0.503546,-72.7389
SPY210719P00427000,European,Put,427.0,0.0079365079,0.49,0.12711,-0.183155,0.054309,10.1934,-0.630789,-79.5046
SPY210719P00428000,European,Put,428.0,0.0079365079,0.63,0.120752,-0.231795,0.0657245,11.719,-0.798387,-86.4629
SPY210719P00429000,European,Put,429.0,0.0079365079,0.87,0.118507,-0.29959,0.0763041,13.3525,-1.03234,-96.213
SPY210719P00430000,European,Put,430.0,0.0079365079,1.13,0.112816,-0.374517,0.0874342,14.5653,-1.29086,-99.1759
SPY210719P00431000,European,Put,431.0,0.0079365079,1.52,0.11065,-0.464011,0.0934442,15.2677,-1.60028,-101.042
SPY210719P00432000,European,Put,432.0,0.0079365079,1.97,0.106385,-0.559996,0.0964821,15.1564,-1.93238,-95.0763
SPY210719P00433000,European,Put,433.0,0.0079365079,2.62,0.109143,-0.649769,0.0883372,14.2367,-2.24482,-90.3338
SPY210719P00434000,European,Put,434.0,0.0079365079,3.34,0.111079,-0.729378,0.0775525,12.7203,-2.52302,-80.522
SPY210719P00435000,European,Put,435.0,0.0079365079,4.2,0.119357,-0.783566,0.0639524,11.2713,-2.71532,-75.6126
SPY210719P00436000,European,Put,436.0,0.0079365079,5.11,0.12908,-0.822274,0.0524802,10.0028,-2.85503,-71.7314
SPY210719P00437000,European,Put,437.0,0.0079365079,6.06,0.1408,-0.84821,0.0434354,9.03057,-2.95134,-70.1684
SPY210719P00438000,European,Put,438.0,0.0079365079,6.72,0.104218,-0.94949,0.0259626,3.99539,-3.30324,-15.1116
SPY210719P00439000,European,Put,439.0,0.0079365079,7.8,0.134315,-0.927945,0.0265988,5.2754,-3.23807,-33.7379
SPY210719P00440000,European,Put,440.0,0.0079365079,8.53,,,,,,
SPY210719P00441000,European,Put,441.0,0.0079365079,10.04,0.200539,-0.89024,0.0243627,7.21427,-3.12679,-80.6177
SPY210719P00442000,European,Put,442.0,0.0079365079,11.0,0.209274,-0.902734,0.0213851,6.60839,-3.17717,-76.4301
SPY210719P00443000,European,Put,443.0,0.0079365079,11.65,0.126953,-0.990563,0.00519342,0.973566,-3.48295,3.93952
SPY210719P00444000,European,Put,444.0,0.0079365079,12.55,,,,,,
SPY210719P00445000,European,Put,445.0,0.0079365079,13.65,0.146179,-0.991426,0.00414726,0.89519,-3.50178,3.54547
SPY210719P00446000,European,Put,446.0,0.0079365079,14.3,,,,,,
SPY210719P00448000,European,Put,448.0,0.0079365079,14.5,,,,,,
SPY210719P00449000,European,Put,449.0,0.0079365079,15.48,,,,,,
SPY210719P00450000,European,Put,450.0,0.0079365079,18.0,,,,,,
SPY210719P00452000,European,Put,452.0,0.0079365079,16.52,,,,,,
SPY210719P00453000,European,Put,453.0,0.0079365079,17.57,,,,,,
SPY210719P00455000,European,Put,455.0,0.0079365079,17.37,,,,,,
SPY210719P00461000,European,Put,461.0,0.0079365079,24.04,,,,,,
SPY210719P00480000,European,Put,480.0,0.0079365079,48.15,,,,,,
SPY210721C00250000,European,Call,250.0,0.0158730159,180.91,,,,,,
SPY210721C00260000,European,Call,260.0,0.0158730159,168.45,,,,,,
SPY210721C00265000,European,Call,265.0,0.0158730159,167.65,2.15942,0.973015,0.000530912,3.38578,3.9987,-237.038
SPY210721C00270000,European,Call,270.0,0.0158730159,162.27,1.96777,0.977997,0.00049086,2.85253,4.11816,-183.746
SPY210721C00280000,European,Call,280.0,0.0158730159,148.46,,,,,,
SPY210721C00290000,European,Call,290.0,0.0158730159,140.93,,,,,,
SPY210721C00355000,European,Call,355.0,0.0158730159,79.02,1.19019,0.91538,0.00239779,8.42803,5.01101,-324.411
SPY210721C00360000,European,Call,360.0,0.0158730159,74.48,1.17538,0.902451,0.00269811,9.36563,4.99459,-355.165
SPY210721C00365000,European,Call,365.0,0.0158730159,70.98,1.25046,0.872747,0.00306724,11.327,4.84683,-454.326
SPY210721C00370000,European,Call,370.0,0.0158730159,64.88,1.07994,0.884194,0.00332383,10.6008,5.02201,-369.072
SPY210721C00375000,European,Call,375.0,0.0158730159,56.11,,,,,,
SPY210721C00385000,European,Call,385.0,0.0158730159,49.49,0.841599,0.869897,0.00462793,11.5024,5.16845,-313.635
SPY210721C00390000,European,Call,390.0,0.0158730159,42.92,0.627365,0.905834,0.00492539,9.12556,5.5187,-189.629
SPY210721C00395000,European,Call,395.0,0.0158730159,36.79,0.417175,0.955699,0.00412859,5.08649,5.9573,-76.8701
SPY210721C00400000,European,Call,400.0,0.0158730159,33.52,0.5616,0.864984,0.00711469,11.8,5.3883,-217.817
SPY210721C00401000,European,Call,401.0,0.0158730159,35.8,0.780563,0.785792,0.00687347,15.8447,4.8101,-397.682
SPY210721C00404000,European,Call,404.0,0.0158730159,31.44,0.647774,0.800796,0.00793384,15.1777,4.982,-318.086
SPY210721C00405000,European,Call,405.0,0.0158730159,26.79,0.318527,0.944401,0.00648164,6.09719,6.0387,-71.3421
SPY210721C00406000,European,Call,406.0,0.0158730159,31.46,0.741997,0.756637,0.00776806,17.0221,4.67943,-405.733
SPY210721C00408000,European,Call,408.0,0.0158730159,23.95,0.311089,0.925303,0.00834744,7.66896,5.95306,-85.1717
SPY210721C00409000,European,Call,409.0,0.0158730159,22.89,0.292664,0.928355,0.00859417,7.428,5.99078,-78.5628
SPY210721C00410000,European,Call,410.0,0.0158730159,21.77,0.265427,0.937879,0.00848582,6.65177,6.07374,-65.8395
SPY210721C00411000,European,Call,411.0,0.0158730159,22.96,0.448456,0.811939,0.0110647,14.6541,5.19286,-215.751
SPY210721C00412000,European,Call,412.0,0.0158730159,22.11,0.444489,0.802078,0.0115174,15.1187,5.13886,-220.334
SPY210721C00413000,European,Call,413.0,0.0158730159,19.04,0.267944,0.904414,0.0116602,9.22675,5.88803,-87.7877
